DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	37.9687	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	37.7398 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2126	28	0	38.1625	0	0
UL	0.00698214	0	6	3	1	12	1	1	0	25523	28	0	37.8179 	0	0
UL	0.00723214	0	7	0	1	12	1	1	0	25523	28	0	37.8467 	0	0
UL	0.00748214	0	7	1	1	12	1	1	0	25523	28	0	37.8502 	0	0
UL	0.00773214	0	7	2	1	12	1	1	0	25523	28	0	37.6577 	0	0
DL	0.007875	0	7	3	1	6	1	1	0	12761	28	0	37.7655	0	0
UL	0.00798214	0	7	3	7	6	1	1	0	12761	28	0	37.7893 	0	0
DL	0.008125	0	8	0	1	6	1	1	0	12761	28	0	37.9415	0	0
UL	0.00823214	0	8	0	7	6	1	1	0	12761	28	0	38.0431 	0	0
DL	0.008375	0	8	1	1	6	1	1	0	12761	28	0	37.929	0	0
UL	0.00848214	0	8	1	7	6	1	1	0	12761	28	0	37.8018 	0	0
DL	0.008625	0	8	2	1	6	1	1	0	12761	28	0	37.7745	0	0
UL	0.00873214	0	8	2	7	6	1	1	0	12761	28	0	37.7297 	0	0
DL	0.008875	0	8	3	1	6	1	1	0	12761	28	0	37.7427	0	0
UL	0.00898214	0	8	3	7	6	1	1	0	12761	28	0	37.8243 	0	0
DL	0.009125	0	9	0	1	6	1	1	0	12761	28	0	37.7702	0	0
UL	0.00923214	0	9	0	7	6	1	1	0	12761	28	0	37.6066 	0	0
