DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.568125	56	8	0	1	6	1	1	0	1373	4	0	5.21042	0	0
UL	0.568232	56	8	0	7	6	1	1	0	1694	5	0	5.32473 	0	0.0125603
DL	0.568375	56	8	1	1	6	1	1	0	1373	4	0	5.09944	0	0
UL	0.568482	56	8	1	7	6	1	1	0	1694	5	0	5.09422 	0	0.0125603
DL	0.568625	56	8	2	1	6	1	1	0	1373	4	0	5.21502	0	0
UL	0.568732	56	8	2	7	6	1	1	0	1694	5	0	5.3565 	0	0
DL	0.568875	56	8	3	1	6	1	1	0	1373	4	0	5.38505	0	0
UL	0.568982	56	8	3	7	6	1	1	0	1694	5	0	5.49134 	0	0
DL	0.569125	56	9	0	1	6	1	1	0	1373	4	0	5.26075	0	0
UL	0.569232	56	9	0	7	6	1	1	0	1694	5	0	5.10944 	0	0.0125603
DL	0.569375	56	9	1	1	6	1	1	0	1373	4	0	5.37817	0	0
UL	0.569482	56	9	1	7	6	1	1	0	1694	5	0	5.44183 	0	0
DL	0.569625	56	9	2	1	6	1	1	0	1373	4	0	5.52346	0	0
UL	0.569732	56	9	2	7	6	1	1	0	1694	5	0	5.43253 	0	0
DL	0.569875	56	9	3	1	6	1	1	0	1373	4	0	5.39233	0	0
UL	0.569982	56	9	3	7	6	1	1	0	1694	5	0	5.67007 	0	0
DL	0.570125	57	0	0	1	6	1	1	0	1373	4	0	5.79343	0	0
UL	0.570232	57	0	0	7	6	1	1	0	1694	5	0	5.82128 	0	0
DL	0.570375	57	0	1	1	6	1	1	0	1373	4	0	5.83055	0	0
UL	0.570482	57	0	1	7	6	1	1	0	1694	5	0	5.87065 	0	0
DL	0.570625	57	0	2	1	6	1	1	0	1373	4	0	5.79332	0	0
UL	0.570732	57	0	2	7	6	1	1	0	1694	5	0	5.66505 	0	0
DL	0.570875	57	0	3	1	6	1	1	0	1373	4	0	5.49683	0	0
UL	0.570982	57	0	3	7	6	1	1	0	1694	5	0	5.38883 	0	0.0125603
DL	0.571125	57	1	0	1	6	1	1	0	1373	4	0	5.46465	0	0
UL	0.571232	57	1	0	7	6	1	1	0	1694	5	0	5.52277 	0	0
DL	0.571375	57	1	1	1	6	1	1	0	1373	4	0	5.31287	0	0
UL	0.571482	57	1	1	7	6	1	1	0	1694	5	0	5.47807 	0	0
DL	0.571625	57	1	2	1	6	1	1	0	1373	4	0	5.06086	0	0
UL	0.571732	57	1	2	7	6	1	1	0	1694	5	0	4.90299 	0	0.0125603
DL	0.571875	57	1	3	1	6	1	1	0	1373	4	0	5.03627	0	0
UL	0.571982	57	1	3	7	6	1	1	0	1694	5	0	4.97445 	0	0.0125603
DL	0.572125	57	2	0	1	6	1	1	0	1373	4	0	5.20236	0	0
UL	0.572232	57	2	0	7	6	1	1	0	1694	5	0	4.89814 	0	0.12671
DL	0.572375	57	2	1	1	6	1	1	0	1373	4	0	5.07247	0	0
UL	0.572482	57	2	1	7	6	1	1	0	1694	5	0	5.24913 	0	0.0125603
DL	0.572625	57	2	2	1	6	1	1	0	1373	4	0	5.21676	0	0
UL	0.572732	57	2	2	7	6	1	1	0	1694	5	0	5.30398 	0	0.0125603
DL	0.572875	57	2	3	1	6	1	1	0	1373	4	0	5.06835	0	0
UL	0.572982	57	2	3	7	6	1	1	0	1373	4	0	5.08713 	0	0
DL	0.573125	57	3	0	1	6	1	1	0	1373	4	0	5.11267	0	0
UL	0.573232	57	3	0	7	6	1	1	0	1694	5	0	5.11109 	0	0.0125603
DL	0.573375	57	3	1	1	6	1	1	0	1373	4	0	4.99122	0	0
UL	0.573482	57	3	1	7	6	1	1	0	1694	5	0	4.93576 	0	0.0125603
DL	0.573625	57	3	2	1	6	1	1	0	1373	4	0	4.89142	0	0
UL	0.573732	57	3	2	7	6	1	1	0	1694	5	0	4.85917 	0	0.12671
DL	0.573875	57	3	3	1	6	1	1	0	1373	4	0	4.89247	0	0
UL	0.573982	57	3	3	7	6	1	1	0	1694	5	0	4.88081 	0	0.12671
DL	0.574125	57	4	0	1	6	1	1	0	1373	4	0	4.96891	0	0
UL	0.574232	57	4	0	7	6	1	1	0	1694	5	0	4.80642 	0	0.12671
DL	0.574375	57	4	1	1	6	1	1	0	1373	4	0	4.83355	0	0
UL	0.574482	57	4	1	7	6	1	1	0	1373	4	0	4.94934 	0	0
DL	0.574625	57	4	2	1	6	1	1	0	1373	4	0	4.73578	0	0
UL	0.574732	57	4	2	7	6	1	1	0	1373	4	0	4.91254 	0	0
DL	0.574875	57	4	3	1	6	1	1	0	1373	4	0	5.09489	0	0
UL	0.574982	57	4	3	7	6	1	1	0	1373	4	0	5.13436 	0	0
DL	0.575125	57	5	0	1	6	1	1	0	1373	4	0	5.0021	0	0
UL	0.575232	57	5	0	7	6	1	1	0	1373	4	0	4.94173 	0	0
